Tid | Avstand | X | Y | Z | Error | Power | uP | uI | uD
255 | 295 | 15 | 5 | 1018 | -5 | 65535 | 0 | 0 | 0
256 | 296 | 15 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
257 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
258 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
259 | 295 | 14 | 2 | 1018 | -5 | 65535 | 0 | 0 | 0
260 | 296 | 14 | 2 | 1018 | -4 | 65535 | 0 | 0 | 0
261 | 296 | 14 | 2 | 1018 | -4 | 65535 | 0 | 0 | 0
262 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
263 | 295 | 14 | 2 | 1019 | -5 | 65535 | 0 | 0 | 0
264 | 296 | 14 | 2 | 1018 | -4 | 65535 | 0 | 0 | 0
265 | 296 | 14 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
266 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
267 | 295 | 15 | 3 | 1019 | -5 | 65535 | 0 | 0 | 0
268 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
269 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
270 | 296 | 15 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
271 | 295 | 15 | 3 | 1020 | -5 | 65535 | 0 | 0 | 0
272 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
273 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
274 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
275 | 295 | 15 | 4 | 1020 | -5 | 65535 | 0 | 0 | 0
276 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
277 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
278 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
279 | 296 | 16 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
280 | 295 | 15 | 4 | 1019 | -5 | 65535 | 0 | 0 | 0
281 | 296 | 15 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
282 | 296 | 16 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
283 | 295 | 16 | 3 | 1021 | -5 | 65535 | 0 | 0 | 0
284 | 296 | 15 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
285 | 296 | 15 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
286 | 296 | 15 | 3 | 1021 | -4 | 65535 | 0 | 0 | 0
287 | 295 | 14 | 3 | 1021 | -5 | 65535 | 0 | 0 | 0
288 | 296 | 14 | 2 | 1020 | -4 | 65535 | 0 | 0 | 0
289 | 296 | 14 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
290 | 296 | 14 | 1 | 1018 | -4 | 65535 | 0 | 0 | 0
291 | 295 | 14 | 1 | 1017 | -5 | 65535 | 0 | 0 | 0
292 | 295 | 13 | 1 | 1018 | -5 | 65535 | 0 | 0 | 0
293 | 296 | 13 | 1 | 1018 | -4 | 65535 | 0 | 0 | 0
294 | 296 | 13 | 1 | 1018 | -4 | 65535 | 0 | 0 | 0
295 | 296 | 13 | 1 | 1018 | -4 | 65535 | 0 | 0 | 0
296 | 296 | 13 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
297 | 296 | 14 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
298 | 296 | 16 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
299 | 295 | 17 | 4 | 1019 | -5 | 65535 | 0 | 0 | 0
300 | 296 | 18 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
301 | 296 | 18 | 4 | 1019 | -4 | 65535 | 0 | 0 | 0
302 | 296 | 17 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
303 | 295 | 16 | 4 | 1020 | -5 | 65535 | 0 | 0 | 0
304 | 296 | 15 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
305 | 296 | 16 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
306 | 296 | 17 | 3 | 1020 | -4 | 65535 | 0 | 0 | 0
307 | 295 | 16 | 4 | 1021 | -5 | 65535 | 0 | 0 | 0
308 | 296 | 16 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
309 | 296 | 15 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
310 | 296 | 15 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
311 | 295 | 16 | 5 | 1021 | -5 | 65535 | 0 | 0 | 0
312 | 296 | 16 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
313 | 296 | 16 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
314 | 296 | 16 | 5 | 1020 | -4 | 65535 | 0 | 0 | 0
315 | 295 | 16 | 5 | 1020 | -5 | 65535 | 0 | 0 | 0
316 | 296 | 15 | 5 | 1020 | -4 | 65535 | 0 | 0 | 0
317 | 296 | 14 | 5 | 1020 | -4 | 65535 | 0 | 0 | 0
318 | 296 | 14 | 5 | 1021 | -4 | 65535 | 0 | 0 | 0
319 | 295 | 14 | 5 | 1022 | -5 | 65535 | 0 | 0 | 0
320 | 296 | 15 | 5 | 1023 | -4 | 65535 | 0 | 0 | 0
321 | 296 | 15 | 5 | 1024 | -4 | 65535 | 0 | 0 | 0
322 | 296 | 15 | 4 | 1024 | -4 | 65535 | 0 | 0 | 0
323 | 295 | 15 | 4 | 1024 | -5 | 65535 | 0 | 0 | 0
324 | 296 | 15 | 3 | 1024 | -4 | 65535 | 0 | 0 | 0
325 | 296 | 15 | 3 | 1024 | -4 | 65535 | 0 | 0 | 0
326 | 296 | 15 | 4 | 1023 | -4 | 65535 | 0 | 0 | 0
327 | 299 | 16 | 5 | 1023 | -1 | 65535 | 0 | 0 | 0
328 | 299 | 17 | 5 | 1022 | -1 | 65535 | 0 | 0 | 0
329 | 300 | 17 | 5 | 1022 | 0 | 65535 | 0 | 0 | 0
330 | 299 | 17 | 5 | 1022 | -1 | 65535 | 0 | 0 | 0
331 | 295 | 17 | 5 | 1022 | -5 | 65535 | 0 | 0 | 0
332 | 297 | 17 | 4 | 1021 | -3 | 65535 | 0 | 0 | 0
333 | 296 | 17 | 4 | 1021 | -4 | 65535 | 0 | 0 | 0
334 | 296 | 17 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
335 | 296 | 17 | 4 | 1020 | -4 | 65535 | 0 | 0 | 0
336 | 296 | 17 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
337 | 296 | 16 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
338 | 296 | 16 | 3 | 1019 | -4 | 65535 | 0 | 0 | 0
339 | 296 | 17 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
340 | 296 | 16 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
341 | 296 | 16 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
342 | 296 | 16 | 2 | 1019 | -4 | 65535 | 0 | 0 | 0
343 | 296 | 16 | 1 | 1017 | -4 | 65535 | 0 | 0 | 0
344 | 297 | 15 | 1 | 1017 | -3 | 65535 | 0 | 0 | 0
345 | 296 | 16 | 1 | 1016 | -4 | 65535 | 0 | 0 | 0
346 | 296 | 15 | 1 | 1016 | -4 | 65535 | 0 | 0 | 0
