Tid,Avstand,X,Y,Z,Error,Power,uP,uI,uD
913,299,-11,-86,1004,1,0,0,0,0
914,298,-9,-88,997,2,0,0,0,0
915,299,-18,-80,981,1,0,0,0,0
916,299,-13,-62,983,1,0,0,0,0
917,302,-8,-44,992,-2,0,0,0,0
918,301,1,-33,1004,-1,0,0,0,0
919,302,6,-21,1009,-2,0,0,0,0
920,302,7,-13,1014,-2,0,0,0,0
921,302,9,-6,1019,-2,0,0,0,0
922,302,11,-2,1025,-2,0,0,0,0
923,302,13,0,1029,-2,0,0,0,0
924,302,13,3,1030,-2,0,0,0,0
925,302,13,4,1030,-2,0,0,0,0
926,302,13,6,1030,-2,0,0,0,0
927,302,13,7,1030,-2,0,0,0,0
928,302,12,7,1028,-2,0,0,0,0
929,302,12,7,1026,-2,0,0,0,0
930,302,12,7,1024,-2,0,0,0,0
931,302,13,7,1023,-2,0,0,0,0
932,303,13,7,1022,-3,0,0,0,0
933,302,13,7,1021,-2,0,0,0,0
934,302,13,7,1019,-2,0,0,0,0
935,302,13,7,1017,-2,0,0,0,0
936,302,13,7,1014,-2,0,0,0,0
937,302,13,7,1013,-2,0,0,0,0
938,302,13,8,1013,-2,0,0,0,0
939,302,13,8,1013,-2,0,0,0,0
940,303,13,8,1013,-3,0,0,0,0
941,302,13,7,1013,-2,0,0,0,0
942,302,12,7,1013,-2,0,0,0,0
943,302,12,7,1013,-2,0,0,0,0
944,302,12,7,1014,-2,0,0,0,0
945,302,12,7,1015,-2,0,0,0,0
946,302,12,7,1016,-2,0,0,0,0
947,302,12,6,1016,-2,0,0,0,0
948,302,12,6,1017,-2,0,0,0,0
949,302,12,5,1018,-2,0,0,0,0
950,302,11,5,1018,-2,0,0,0,0
951,302,11,5,1018,-2,0,0,0,0
952,303,12,6,1018,-3,0,0,0,0
953,302,12,7,1018,-2,0,0,0,0
954,302,12,7,1018,-2,0,0,0,0
955,302,11,7,1018,-2,0,0,0,0
956,303,10,6,1018,-3,0,0,0,0
957,302,10,5,1019,-2,0,0,0,0
958,302,10,5,1019,-2,0,0,0,0
959,302,10,5,1018,-2,0,0,0,0
960,302,11,5,1017,-2,0,0,0,0
961,302,11,5,1017,-2,0,0,0,0
962,302,11,5,1017,-2,0,0,0,0
963,302,11,5,1017,-2,0,0,0,0
964,302,11,6,1017,-2,0,0,0,0
965,298,11,6,1017,2,0,0,0,0
966,299,10,7,1016,1,0,0,0,0
